Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
65536,8.95,3.81,14.09,20000,2,2,binomial
131072,15.41,8.3,22.52,20000,2,2,binomial
262144,34.61,33.1,36.12,20000,2,2,binomial
524288,64.22,62.71,65.73,20000,2,2,binomial
1,0.97,0.6,1.31,20000,4,2,binomial
2,0.97,0.6,1.32,20000,4,2,binomial
4,0.97,0.6,1.32,20000,4,2,binomial
8,0.97,0.6,1.32,20000,4,2,binomial
16,1.03,0.72,1.32,20000,4,2,binomial
32,1.48,1.06,1.8,20000,4,2,binomial
64,1.45,1.07,1.84,20000,4,2,binomial
128,1.63,1.2,2.08,20000,4,2,binomial
256,1.67,1.17,2.19,20000,4,2,binomial
512,1.81,1.22,2.39,20000,4,2,binomial
1024,2.23,1.08,3.33,20000,4,2,binomial
2048,2.67,1.1,4.2,20000,4,2,binomial
4096,3.26,1.19,5.24,20000,4,2,binomial
8192,3.58,1.43,5.5,20000,4,2,binomial
16384,5.63,2.59,8.39,20000,4,2,binomial
32768,9.13,5.0,12.98,20000,4,2,binomial
65536,16.42,10.04,22.53,20000,4,2,binomial
131072,46.11,40.05,51.94,20000,4,2,binomial
262144,90.93,82.64,99.39,20000,4,2,binomial
524288,175.03,160.6,189.71,20000,4,2,binomial
1,2.17,0.58,3.75,20000,8,2,binomial
2,2.16,0.57,3.74,20000,8,2,binomial
4,2.16,0.58,3.75,20000,8,2,binomial
8,2.25,0.56,3.92,20000,8,2,binomial
16,2.81,0.57,5.12,20000,8,2,binomial
32,2.97,0.58,5.33,20000,8,2,binomial
64,3.4,1.14,5.72,20000,8,2,binomial
128,3.48,1.16,5.84,20000,8,2,binomial
256,3.6,1.18,6.05,20000,8,2,binomial
512,3.73,0.76,6.71,20000,8,2,binomial
1024,4.26,0.85,7.69,20000,8,2,binomial
2048,5.02,1.08,8.95,20000,8,2,binomial
4096,5.55,1.65,9.42,20000,8,2,binomial
8192,7.66,2.9,12.41,20000,8,2,binomial
16384,11.48,5.44,17.46,20000,8,2,binomial
32768,19.02,10.61,27.33,20000,8,2,binomial
65536,49.91,41.02,58.52,20000,8,2,binomial
131072,102.96,93.92,109.64,20000,8,2,binomial
262144,198.25,190.16,206.48,20000,8,2,binomial
524288,380.03,372.74,391.44,20000,8,2,binomial
1,2.65,0.76,4.51,20000,16,2,binomial
2,2.59,0.76,4.42,20000,16,2,binomial
4,2.75,0.76,4.68,20000,16,2,binomial
8,2.94,0.95,4.94,20000,16,2,binomial
16,2.84,0.77,4.86,20000,16,2,binomial
32,3.45,1.33,5.59,20000,16,2,binomial
64,3.71,1.48,5.96,20000,16,2,binomial
128,3.86,1.52,6.18,20000,16,2,binomial
256,4.14,1.18,7.17,20000,16,2,binomial
512,4.89,1.48,8.27,20000,16,2,binomial
1024,6.11,2.13,10.12,20000,16,2,binomial
2048,8.46,3.55,13.28,20000,16,2,binomial
4096,11.41,6.11,16.69,20000,16,2,binomial
8192,17.78,11.6,23.94,20000,16,2,binomial
16384,30.08,22.34,37.89,20000,16,2,binomial
32768,65.2,59.1,70.67,20000,16,2,binomial
65536,98.71,94.3,103.16,20000,16,2,binomial
131072,217.61,203.99,231.03,20000,16,2,binomial
262144,433.69,415.16,462.7,20000,16,2,binomial
524288,929.05,853.61,973.09,20000,16,2,binomial
1,2.99,0.9,5.06,20000,32,2,binomial
2,3.07,0.89,5.22,20000,32,2,binomial
4,3.83,0.92,6.66,20000,32,2,binomial
8,3.74,0.94,6.56,20000,32,2,binomial
16,4.33,1.55,7.14,20000,32,2,binomial
32,4.55,1.78,7.31,20000,32,2,binomial
64,4.9,1.93,7.92,20000,32,2,binomial
128,5.23,1.65,8.79,20000,32,2,binomial
256,6.08,1.99,10.11,20000,32,2,binomial
512,7.62,2.79,12.34,20000,32,2,binomial
1024,9.96,4.42,15.34,20000,32,2,binomial
2048,13.37,7.0,19.51,20000,32,2,binomial
4096,20.85,13.13,28.28,20000,32,2,binomial
8192,35.89,25.9,45.53,20000,32,2,binomial
16384,77.64,72.57,81.42,20000,32,2,binomial
32768,120.97,116.18,124.85,20000,32,2,binomial
65536,246.93,225.08,266.16,20000,32,2,binomial
131072,501.58,480.85,524.16,20000,32,2,binomial
262144,1024.71,983.28,1051.98,20000,32,2,binomial
524288,2106.18,1980.71,2185.68,20000,32,2,binomial
1,2.16,0.9,10.4,20000,64,2,binomial
2,1.84,0.9,9.39,20000,64,2,binomial
4,1.9,0.92,9.48,20000,64,2,binomial
8,2.2,1.18,9.96,20000,64,2,binomial
16,2.4,1.26,9.95,20000,64,2,binomial
32,2.66,1.35,10.27,20000,64,2,binomial
64,3.2,1.34,11.25,20000,64,2,binomial
128,3.91,1.79,12.1,20000,64,2,binomial
256,5.08,2.53,13.62,20000,64,2,binomial
512,7.82,4.14,17.1,20000,64,2,binomial
1024,12.85,7.86,23.63,20000,64,2,binomial
2048,20.72,15.08,31.88,20000,64,2,binomial
4096,37.03,29.79,49.8,20000,64,2,binomial
8192,81.15,78.02,87.61,20000,64,2,binomial
16384,130.17,125.08,137.26,20000,64,2,binomial
32768,254.75,241.32,268.79,20000,64,2,binomial
65536,499.43,465.3,516.4,20000,64,2,binomial
131072,1024.96,970.67,1059.35,20000,64,2,binomial
262144,2085.8,2010.44,2194.11,20000,64,2,binomial
524288,4193.65,4001.76,4342.51,20000,64,2,binomial
1,6.18,1.03,24.7,20000,128,2,binomial
2,6.0,1.03,23.84,20000,128,2,binomial
4,6.52,1.45,25.66,20000,128,2,binomial
8,6.23,1.48,24.99,20000,128,2,binomial
16,6.12,1.66,25.24,20000,128,2,binomial
32,6.12,1.78,27.63,20000,128,2,binomial
64,6.74,2.26,28.71,20000,128,2,binomial
