Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
16384,10.74,4.46,16.31,20000,8,5,binary tree
32768,14.28,5.6,22.78,20000,8,5,binary tree
65536,21.86,8.26,36.6,20000,8,5,binary tree
131072,39.7,14.89,64.72,20000,8,5,binary tree
262144,82.1,31.69,125.79,20000,8,5,binary tree
524288,161.28,61.26,241.44,20000,8,5,binary tree
1,2.68,0.35,4.7,20000,16,5,binary tree
2,2.69,0.35,4.72,20000,16,5,binary tree
4,3.06,0.36,5.53,20000,16,5,binary tree
8,2.74,0.35,4.72,20000,16,5,binary tree
16,2.67,0.35,4.67,20000,16,5,binary tree
